GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ticket-service,com.epam.training.ticketservice.commands.availability,CommandAvailability,0,15,0,4,0,3,0,3,0,1
ticket-service,com.epam.training.ticketservice.core.movie,Movie,0,22,0,0,0,9,0,2,0,2
ticket-service,com.epam.training.ticketservice.commands.exit,ExitCommand,6,0,0,0,3,0,2,0,2,0
ticket-service,com.epam.training.ticketservice.core.screening,Screening,10,12,0,0,4,5,1,1,1,1
ticket-service,com.epam.training.ticketservice.core.user,User.Role,0,15,0,0,0,3,0,1,0,1
ticket-service,com.epam.training.ticketservice.core.user,User,0,12,0,0,0,5,0,1,0,1
ticket-service,com.epam.training.ticketservice,Application,23,0,0,0,5,0,2,0,2,0
ticket-service,com.epam.training.ticketservice.commands,RoomCommands,7,82,1,3,2,26,2,6,1,5
ticket-service,com.epam.training.ticketservice.commands,ScreeningCommands,68,67,4,0,20,15,4,3,2,3
ticket-service,com.epam.training.ticketservice.commands,AccountCommands,20,0,0,0,7,0,4,0,4,0
ticket-service,com.epam.training.ticketservice.commands,MovieCommands,7,72,1,3,2,23,2,6,1,5
ticket-service,com.epam.training.ticketservice.core.room,Room,6,22,0,0,1,9,1,2,1,2
ticket-service,com.epam.training.ticketservice.services.impl,ScreeningServiceImpl,22,120,5,19,4,26,8,11,3,4
ticket-service,com.epam.training.ticketservice.services.impl,RoomServiceImpl,4,53,1,1,1,13,2,5,1,5
ticket-service,com.epam.training.ticketservice.services.impl,MovieServiceImpl,4,53,1,1,1,13,2,5,1,5
ticket-service,com.epam.training.ticketservice.services.impl,AccountServiceImpl,86,0,8,0,26,0,12,0,8,0
ticket-service,com.epam.training.ticketservice.configuration,PromptConfiguration,8,0,0,0,2,0,2,0,2,0
